id,Sector,Last page,Have you smoked at least one full tobacco cigarette (excluding e-cigarettes) once or more in the past 30 days?,"I see myself as someone who is extraverted, enthusiastic:","I see myself as someone who is critical, quarrelsome:","I see myself as someone who is dependable, self-disciplined:","I see myself as someone who is anxious, easily upset:",I see myself as someone who is open to new experiences:,"I see myself as someone who is reserved, quiet:","I see myself as someone who is sympathetic, warm:","I see myself as someone who is disorganized, careless:","I see myself as someone who is calm, emotionally stable:","I see myself as someone who is conventional, uncreative:","Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",How many cigarettes do you smoke each day?,Do you smoke more frequently during the first hours after waking up than during the rest of the day? ,Do you smoke if you are so ill that you are in bed most of the day?,How soon after you wake up do you smoke your first cigarette?,Which cigarette would you mostly hate to give up?,How old were you the first time you smoked a full cigarette (not just a few puffs)?,How would you describe your current smoking behavior compared to your smoking behavior before Lebanon's economic crisis and revolution began in 2019?,What is your favorite or preferred cigarette brand(s) if you were able to access it?,What cigarette brand(s) are you currently using?,Are you currently able to afford your favorite or preferred cigarette brand(s)?,Has 2019's revolution or economic crisis caused you to switch away from your favorite or preferred cigarette brand(s) to an  alternative?,Gender:,How old are you?,Which governerate do you live in or spend most of your time in?,What is the highest level of education you have attained?,What is your current employment status?,What is your current employment status? [Comment],What is your current marital status?,What is your current marital status? [Comment],Do you have close friends?,"Of the five closest friends or acquaintances that you spend time with on a regular basis, how many of them are smokers?",What is your main source of income?,What is your main source of income? [Comment],What type of income or financial support does your household receive?,What type of income or financial support does your household receive? [Comment],"If you receive payment in Lebanese Lira, what is your current estimated monthly household income? (If income is in US Dollars, then refer to the current black market exchange).",How would you describe your current income sufficiency?,"Including yourself, how many people currently live in your household?",To what extent were you financially (negatively) affected by the deterioration of the Lebanese economy?,How often do you exercise?,"On average, how many hours per day do you spend on social media for entertainment and social interaction (Facebook, Instagram, YouTube, etc...)?",How often do you feel stressed?,Employment Status
332,Private,5,Yes,Agree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,31 to 60 minutes,The first one in the morning,20,The number of cigarettes I smoke per day has decreased,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,22,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,1,Parents,,Mixed,,More than 20 million L.L,Medium: covers all basic needs,5,Slightly,Often or at least 3 days every week,Between 1 hour and 2 hours,Occasionally,Employed
333,Private,5,Yes,Disagree moderately,Disagree moderately,Agree a little,Agree moderately,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree a little,Yes,21 to 30 cigarettes,No,No,After 60 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,22,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,3,Parents,,Mixed,,Between 16 and 20 million L.L,Low: barely covers basic needs for a month,5,Slightly,Never,Between 2 and 3 hours,Occasionally,Unemployed
334,Private,5,Yes,Disagree moderately,Disagree a little,Agree moderately,Agree a little,Disagree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Agree a little,Yes,31 cigarettes/day or more,Yes,No,6 to 30 minutes,The first one in the morning,20,The number of cigarettes I smoke per day has increased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,23,Beirut,Incomplete graduate degree,Student with a part-time or full-time job,,Single,,Yes,4,Job,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,3,Slightly,Never,Between 1 hour and 2 hours,Frequently,Employed
335,Private,5,Yes,Agree strongly,Agree a little,Agree strongly,Agree a little,Disagree a little,Disagree moderately,Agree a little,Disagree a little,Agree a little,Disagree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,21,The number of cigarettes I smoke per day has remained the same,marlboro or kent,kent,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,Incomplete graduate degree,Student with a part-time or full-time job,,Single,,Yes,2,Job,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,3,Slightly,Sometimes or a few days every month,Between 1 hour and 2 hours,Occasionally,Employed
336,Private,5,Yes,Agree moderately,Disagree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,21,The number of cigarettes I smoke per day has remained the same,davidoff gold,davidoff gold,Yes,"Yes, I am currently using a more expensive alternative",Male,25,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Married,,Yes,2,Job,,Fully in US Dollars,,More than 20 million L.L,Extremely high: covers a wide range of luxury items,2,Slightly,Often or at least 3 days every week,Between 1 hour and 2 hours,Occasionally,Employed
337,Private,5,Yes,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,20,The number of cigarettes I smoke per day has remained the same,davidoff and marlboro,davidoff and marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,Incomplete graduate degree,Student with a part-time or full-time job,,Single,,Yes,2,Job,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Sometimes or a few days every month,Between 1 hour and 2 hours,Rarely,Employed
338,Private,5,Yes,Agree a little,Disagree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Agree strongly,Agree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,19,The number of cigarettes I smoke per day has decreased,davidoff gold,davidoff gold,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,23,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,2,Job,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,3,Slightly,Often or at least 3 days every week,Between 1 hour and 2 hours,Occasionally,Employed
339,Private,5,Yes,Agree strongly,Disagree a little,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Yes,31 cigarettes/day or more,No,No,6 to 30 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has remained the same,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,4,Parents,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Never,Between 3 and 4 hours,Frequently,Unemployed
340,Private,5,Yes,Agree a little,Disagree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,No,21 to 30 cigarettes,No,No,31 to 60 minutes,All others,19,The number of cigarettes I smoke per day has decreased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,2,Parents,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,6,Slightly,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Unemployed
341,Private,5,Yes,Agree moderately,Disagree a little,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Disagree moderately,Disagree moderately,Yes,31 cigarettes/day or more,Yes,Yes,6 to 30 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has increased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,22,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,5,Job,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Never,Between 1 hour and 2 hours,Frequently,Employed
343,Private,5,Yes,Disagree a little,Disagree moderately,Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree a little,Disagree moderately,Yes,21 to 30 cigarettes,Yes,No,31 to 60 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,marlboro lights,marlboro lights,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,22,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,4,Job,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Slightly,Never,Between 2 and 3 hours,Constantly,Employed
344,Private,5,Yes,Disagree a little,Disagree moderately,Agree a little,Agree moderately,Agree strongly,Agree a little,Disagree moderately,Agree a little,Disagree a little,Disagree a little,No,11 to 20 cigarettes,No,No,6 to 30 minutes,All others,19,The number of cigarettes I smoke per day has decreased,marlboro,marlboro,No,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,22,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,1,Parents,,Mixed,,More than 20 million L.L,Medium: covers all basic needs,5,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Unemployed
345,Private,5,Yes,Agree a little,Agree a little,Disagree moderately,Agree moderately,Agree strongly,Disagree moderately,Agree moderately,Agree a little,Disagree a little,Disagree moderately,Yes,31 cigarettes/day or more,Yes,Yes,6 to 30 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,marlboro,cedars,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,4,Parents,,Mixed,,More than 20 million L.L,Medium: covers all basic needs,6,Very,Never,Between 3 and 4 hours,Frequently,Unemployed
346,Private,5,Yes,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree moderately,Agree a little,Disagree a little,Disagree a little,Disagree moderately,Yes,31 cigarettes/day or more,Yes,Yes,Within 5 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,marlboro lights,marlboro lights,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,20,Beirut,Bachelor's degree (BA/BS),Student only,,"Other, please specify",in a relationship,Yes,5,Parents,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Never,Between 2 and 3 hours,Frequently,Unemployed
347,Private,5,Yes,Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,20,The number of cigarettes I smoke per day has remained the same,marlboro and heets,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,23,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,Yes,1,Job,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Often or at least 3 days every week,Between 1 hour and 2 hours,Rarely,Employed
348,Private,5,Yes,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,19,The number of cigarettes I smoke per day has remained the same,marlboro Gold,marlboro gold and iqos,Yes,"Yes, I am currently using a more expensive alternative",Male,22,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,2,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Slightly,Sometimes or a few days every month,Between 3 and 4 hours,Occasionally,Unemployed
349,Private,5,Yes,Agree a little,Disagree a little,Agree moderately,Disagree a little,Agree strongly,Disagree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,19,The number of cigarettes I smoke per day has remained the same,marlboro or iqos,iqos,Yes,"Yes, I am currently using a more expensive alternative",Male,21,Beirut,Bachelor's degree (BA/BS),Student only,,"Other, please specify",in a relationship,Yes,2,Parents,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Not at all,Sometimes or a few days every month,Between 1 hour and 2 hours,Rarely,Unemployed
350,Private,5,Yes,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Disagree a little,Agree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Yes,21 to 30 cigarettes,No,No,6 to 30 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,marlboro gold,marlboro gold or lights,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,23,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Engaged,,Yes,3,Job,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,2,Slightly,Often or at least 3 days every week,Between 1 hour and 2 hours,Occasionally,Employed
351,Private,5,Yes,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree moderately,Yes,21 to 30 cigarettes,No,No,31 to 60 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has decreased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,3,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Employed
352,Private,5,Yes,Disagree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,19,The number of cigarettes I smoke per day has decreased,marlboro,marlboro or iqos,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,North Lebanon,Bachelor's degree (BA/BS),Student only,,Single,,Yes,2,Parents,,Mixed,,Between 16 and 20 million L.L,Medium: covers all basic needs,3,Moderately,Often or at least 3 days every week,Between 1 hour and 2 hours,Rarely,Unemployed
353,Private,5,Yes,Agree a little,Disagree a little,Agree moderately,Disagree strongly,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,31 to 60 minutes,The first one in the morning,20,The number of cigarettes I smoke per day has remained the same,davidoff or marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Engaged,,Yes,2,Job,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Often or at least 3 days every week,Between 1 hour and 2 hours,Occasionally,Employed
356,Public,5,Yes,Disagree a little,Disagree a little,Disagree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree moderately,Neither agree nor disagree,Yes,11 to 20 cigarettes,No,No,After 60 minutes,All others,18,The number of cigarettes I smoke per day has decreased,Malboro,Malboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,Bachelor's degree (BA/BS),Employee; full-time,,Single,,Yes,5,Job,,Mixed,,I prefer not to say,Medium: covers all basic needs,3,Slightly,Never,Between 2 and 3 hours,Constantly,Employed
357,Public,5,Yes,Disagree a little,Agree moderately,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree moderately,Agree moderately,Disagree moderately,Disagree a little,No,11 to 20 cigarettes,Yes,Yes,After 60 minutes,The first one in the morning,21,The number of cigarettes I smoke per day has increased,Iqos,Iqos,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,30,Beirut,"Post-graduate degree (PhD, MD, or other)",Employee; full-time,,Married,,No,1,Job,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,1,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Employed
360,Public,5,Yes,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree a little,No,11 to 20 cigarettes,Yes,No,6 to 30 minutes,All others,9,The number of cigarettes I smoke per day has decreased,Ab,Ab,No,"Yes, I am currently using a cheaper alternative",Male,30,Beqaa,Less than high school,Unemployed (but seeking employment),,Single,,Yes,2,"Other, please specify",زراعة,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,4,Very,Never,Between 1 hour and 2 hours,Frequently,Unemployed
364,Public,5,Yes,Agree a little,Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Agree a little,No,10 or less cigarettes/day,Yes,No,After 60 minutes,The first one in the morning,20,The number of cigarettes I smoke per day has increased,Malboro,Malboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,South Lebanon,Bachelor's degree (BA/BS),Student only,,Single,,Yes,1,Parents,,Fully in Lebanese Lira,,Less than 1 million L.L,Medium: covers all basic needs,4,Slightly,Sometimes or a few days every month,Less than 1 hour,Occasionally,Unemployed
369,Public,5,Yes,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,"Davidoff 
Marlboro red",Marlboro fine touch,No,"Yes, I am currently using a cheaper alternative",Male,22,South Lebanon,Incomplete bachelor's degree,Student with a part-time or full-time job,,Single,,No,2,Job,,Fully in Lebanese Lira,,Between 4 and 8 million L.L,Low: barely covers basic needs for a month,6,Very,Often or at least 3 days every week,Between 1 hour and 2 hours,Occasionally,Employed
383,Public,5,Yes,Disagree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Agree moderately,Agree moderately,Agree a little,Agree a little,Agree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,21,The number of cigarettes I smoke per day has remained the same,Allure,Allure,Yes,"Yes, I am currently using a cheaper alternative",Female,27,South Lebanon,High school degree or equivalent (e.g. GED),Employee; full-time,,Single,,Yes,3,Job,,Mixed,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,6,Very,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Employed
384,Public,5,Yes,Agree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Agree a little,Yes,10 or less cigarettes/day,No,No,6 to 30 minutes,The first one in the morning,21,The number of cigarettes I smoke per day has decreased,مارلبورو,سيدرز,No,"Yes, I am currently using a cheaper alternative",Female,23,South Lebanon,High school degree or equivalent (e.g. GED),Homemaker,,Married,,Yes,3,Own business income,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,3,Very,Sometimes or a few days every month,Between 1 hour and 2 hours,Frequently,Unemployed
385,Public,5,Yes,Agree moderately,Agree a little,Agree strongly,Agree strongly,Agree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree strongly,Yes,31 cigarettes/day or more,Yes,Yes,6 to 30 minutes,All others,17,The number of cigarettes I smoke per day has remained the same,Marlboro,Cidar,No,"Yes, I am currently using a cheaper alternative",Male,23,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,اتمنى ان اتوقف عن التدخين لكن الامر صعب,Single,,Yes,3,Job,عمل دوام جزئي ومن الآباء,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Very low income: does not cover basic needs for a month,7,Extremely,Often or at least 3 days every week,Between 3 and 4 hours,Frequently,Employed
388,Public,5,Yes,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,16,The number of cigarettes I smoke per day has increased,Camel,Camel,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,29,Mount Lebanon,Graduate degree (MA/MS),Employee; full-time,,Single,,Yes,3,Job,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,2,Not at all,Sometimes or a few days every month,Between 1 hour and 2 hours,Occasionally,Employed
391,Public,5,Yes,Agree moderately,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Agree moderately,Agree moderately,Disagree strongly,Agree moderately,Neither agree nor disagree,Yes,10 or less cigarettes/day,Yes,Yes,6 to 30 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,Daviddoff,Daviddoff,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,25,Beirut,Graduate degree (MA/MS),Student only,,Single,,Yes,3,Parents,,Fully in Lebanese Lira,,I prefer not to say,Medium: covers all basic needs,6,Moderately,Often or at least 3 days every week,More than 4 hours,Rarely,Unemployed
392,Public,5,Yes,Agree moderately,Agree strongly,Agree strongly,Disagree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Yes,11 to 20 cigarettes,Yes,Yes,Within 5 minutes,All others,20,The number of cigarettes I smoke per day has remained the same,Marlboro,Malboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,28,Beirut,Incomplete bachelor's degree,Student with a part-time or full-time job,,Single,,Yes,4,Parents,,Mixed,,Less than 1 million L.L,High: completely covers necessities with a few luxury items,5,Moderately,Every day or at least 5 times every week,Between 3 and 4 hours,Occasionally,Employed
393,Public,5,Yes,Agree moderately,Disagree moderately,Agree strongly,Agree strongly,Agree strongly,Agree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree strongly,Yes,10 or less cigarettes/day,Yes,Yes,31 to 60 minutes,The first one in the morning,21,The number of cigarettes I smoke per day has remained the same,Winston,Winston,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,"Other, please specify",غير متزوج,Yes,5,Job,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,6,Moderately,Sometimes or a few days every month,Between 1 hour and 2 hours,Occasionally,Employed
394,Public,5,Yes,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Yes,11 to 20 cigarettes,Yes,Yes,Within 5 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has increased,Marlboro,cedars,Yes,"Yes, I am currently using a cheaper alternative",Female,28,Mount Lebanon,Bachelor's degree (BA/BS),Employee; full-time,,Divorced/Separated,,Yes,3,Job,,Fully in Lebanese Lira,,Between 8 and 12 million L.L,Low: barely covers basic needs for a month,5,Slightly,Never,I don't use any social media platforms,Frequently,Employed
395,Public,5,Yes,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Agree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,No,10 or less cigarettes/day,Yes,No,After 60 minutes,The first one in the morning,20,The number of cigarettes I smoke per day has remained the same,Kent,Kent,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,23,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,0,Parents,,Fully in Lebanese Lira,,I prefer not to say,Very low income: does not cover basic needs for a month,7,Very,Never,More than 4 hours,Occasionally,Unemployed
397,Public,5,Yes,Agree a little,Neither agree nor disagree,Disagree moderately,Disagree strongly,Disagree a little,Agree a little,Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,Yes,10 or less cigarettes/day,Yes,Yes,Within 5 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has increased,Golden verginia,Golden verginia,No,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,27,Beqaa,Bachelor's degree (BA/BS),Employee; full-time,كل الشكر ❤️,Single,,Yes,5,Job,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,6,Moderately,Never,Between 2 and 3 hours,Constantly,Employed
398,Public,5,Yes,Agree moderately,Disagree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree moderately,No,10 or less cigarettes/day,No,No,After 60 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has increased,Marlboro-ceedars,Ceedars-heets,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,19,Beirut,Incomplete bachelor's degree,Student with a part-time or full-time job,,"Other, please specify","Taken , love relationship",Yes,3,Own business income,,Mixed,,I prefer not to say,High: completely covers necessities with a few luxury items,5,Moderately,Every day or at least 5 times every week,Between 3 and 4 hours,Occasionally,Employed
400,Public,5,Yes,Disagree a little,Neither agree nor disagree,Agree moderately,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree a little,Disagree a little,Neither agree nor disagree,No,10 or less cigarettes/day,No,No,After 60 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has increased,Marlboro,"Any, nothing specific i never buy a pack",Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,18,Mount Lebanon,High school degree or equivalent (e.g. GED),Student only,,"Other, please specify",In a relationship,Yes,4,Parents,,Mixed,,I prefer not to say,Medium: covers all basic needs,4,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Unemployed
401,Public,5,Yes,Agree strongly,Neither agree nor disagree,Agree moderately,Agree strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Yes,11 to 20 cigarettes,Yes,Yes,Within 5 minutes,The first one in the morning,14,The number of cigarettes I smoke per day has increased,مالبورو,سيدرز,No,"Yes, I am currently using a cheaper alternative",Female,20,Beirut,High school degree or equivalent (e.g. GED),Employee; part-time,,Single,,Yes,5,Parents,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Very low income: does not cover basic needs for a month,8,Extremely,Never,More than 4 hours,Constantly,Employed
402,Public,5,Yes,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree a little,Agree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Agree a little,Disagree a little,Yes,21 to 30 cigarettes,Yes,No,6 to 30 minutes,All others,13,The number of cigarettes I smoke per day has remained the same,Malboro,kent,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,19,Beirut,Incomplete graduate degree,Student only,,Single,,No,5,Parents,,Fully in US Dollars,,Between 16 and 20 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Every day or at least 5 times every week,More than 4 hours,Constantly,Unemployed
403,Public,5,Yes,Disagree moderately,,Agree strongly,Agree strongly,Agree moderately,Agree a little,Agree strongly,Agree a little,Neither agree nor disagree,Disagree strongly,Yes,31 cigarettes/day or more,Yes,Yes,6 to 30 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has remained the same,Marlboro red soft,Marlboro red soft,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,20,Beirut,Incomplete graduate degree,Student with a part-time or full-time job,,Single,Single be2is,No,5,Parents,,Mixed,,Between 16 and 20 million L.L,Medium: covers all basic needs,7,Moderately,Often or at least 3 days every week,More than 4 hours,Constantly,Employed
404,Public,5,Yes,Agree moderately,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Agree moderately,Neither agree nor disagree,Agree a little,Disagree a little,Yes,11 to 20 cigarettes,Yes,Yes,31 to 60 minutes,The first one in the morning,20,The number of cigarettes I smoke per day has remained the same,Ceders,Ceders,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,Graduate degree (MA/MS),Student only,,Single,,Yes,2,Parents,,Fully in Lebanese Lira,,Less than 1 million L.L,Medium: covers all basic needs,4,Moderately,Often or at least 3 days every week,Between 1 hour and 2 hours,Frequently,Unemployed
